judul,judul_clean,sentiment_MP,sentiment_NB
Kamu Nanya Set Top Box TV Digital Resmi Kominfo Harga Seratus Ribuan?,nanya set top box tv digital resmi kominfo harga seratus ribuan,positif,0
"Menjajal Media Center KTT G20 Bali, Titik Jumpa Jurnalis Lintas Negara",menjajal media center ktt g bali titik jumpa jurnalis lintas negara,netral,0
18 Link Nonton Film Online Ini Lebih Aman dari IndoXXI dan LK21,link nonton film online aman indoxxi lk,positif,0
4.312 Set Top Box Dibagikan di 4 Kecamatan Kota Pasuruan,set top box dibagikan kecamatan kota pasuruan,netral,0
Cara Nonton Siaran TV Digital Tanpa Set Top Box,nonton siaran tv digital set top box,netral,0
Komisi I DPR Sentil Stasiun TV Bandel yang Sempat Siaran Analog,komisi i dpr sentil stasiun tv bandel siaran analog,negatif,1
DPR Kritik Distribusi Set Top Box Gratis TV Digital Tidak Merata,dpr kritik distribusi set top box gratis tv digital tidak merata,netral,1
Aduh! Harga STB TV Digital Jadi Mahal Usai TV Analog Dimatikan,aduh harga stb tv digital mahal tv analog dimatikan,negatif,1
"FLEI Expo 2022: Ekonomi Indonesia Tetap Baik, Bisnis Franchise Jadi Incaran",flei expo ekonomi indonesia bisnis franchise incaran,netral,1
"Siaran Analog Sempurna, Tapi Siaran Digital Efisien dan Handal",siaran analog sempurna siaran digital efisien handal,positif,1
Saat Prilly Ditanya Mahasiswa UGM soal Pengaruh TV Masa Kini,prilly mahasiswa ugm pengaruh tv,netral,1
"Syarat dan Cara Dapat Set Top Box Gratis, Termasuk Mekanismenya",syarat set top box gratis mekanismenya,positif,0
"Jadi Dosen di UGM, Prilly Hari Ini Paparkan Materi Selebritas-Media",dosen ugm prilly paparkan materi selebritas media,netral,0
"Link Cek Daftar Penerima Set Top Box TV Digital Gratis, Ada Namamu?",link cek daftar penerima set top box tv digital gratis namamu,positif,1
Link Cek Penerima Set Top Box TV Digital Gratis,link cek penerima set top box tv digital gratis,positif,1
"Seminggu Siaran TV Digital, Menkominfo: Masyarakat Sudah Menunggu",seminggu siaran tv digital menkominfo masyarakat menunggu,netral,1
"Ini Harga 70 Set Top Box TV Digital Resmi Kominfo, Mulai Rp 100 Ribuan",harga set top box tv digital resmi kominfo rp ribuan,positif,0
"Sentil TV Bandel, Mahfud Md Migrasi ke TV Digital Punya Landasan Hukum",sentil tv bandel mahfud md migrasi tv digital landasan hukum,negatif,1
Menkominfo Minta KPI Awasi Konten Siaran TV Digital,menkominfo kpi awasi konten siaran tv digital,netral,1
"TV Analog Dimatikan, Penjualan TV Digital di Tokopedia Naik 2,5x Lipat",tv analog dimatikan penjualan tv digital tokopedia x lipat,netral,1
"Migrasi TV Analog ke TV Digital, Pakar UGM: Perlu, tapi...",migrasi tv analog tv digital pakar ugm,positif,1
"TV Analog Dimatikan, Set Top Box Jadi Langka-Harga Naik",tv analog dimatikan set top box langka harga,netral,0
"Tepis Hary Tanoe, Akademisi Sebut ASO Sah Dijalankan",tepis hary tanoe akademisi aso sah dijalankan,positif,0
4 Cara Mengatasi TV Digital Tidak Ada Sinyal Siaran,mengatasi tv digital tidak sinyal siaran,netral,1
Warga Indramayu Masih Nikmati Siaran TV Analog,warga indramayu nikmati siaran tv analog,netral,1
Pemerintah Matikan TV Analog saat Akses ke Digital Masih Terbatas,pemerintah matikan tv analog akses digital terbatas,netral,1
"Buat yang Nggak Mampu Beli Set Top Box, Ada yang Gratis Kok! Gini Cara Dapatnya",nggak beli set top box gratis gini dapatnya,positif,0
"Curhat Warga Kala TV Analog Mati, Set Top Box Ludes-Harga Naik",curhat warga tv analog mati set top box ludes harga,netral,0
"TV Analog Disuntik Mati, Harga Set Top Box Tembus Hampir Rp 500 Ribu",tv analog disuntik mati harga set top box tembus rp ribu,netral,0
Cara Daftar dan Syarat Dapat Set Top Box Gratis,daftar syarat set top box gratis,positif,0
"TV Analog Mati, Bagaimana Akses Masyarakat ke Informasi?",tv analog mati akses masyarakat informasi,netral,1
Belum Menerima Bantuan Set Top Box Gratis? Ini Cara Mengajukannya,menerima bantuan set top box gratis mengajukannya,positif,0
15 Set Top Box TV Digital Rp 100 Ribuan Bersertifikasi Kominfo,set top box tv digital rp ribuan bersertifikasi kominfo,netral,1
Ini Harga Set Top Box di Jaya Plaza Bandung,harga set top box jaya plaza bandung,netral,0
Semua Pertanyaan tentang Migrasi TV Analog ke Siaran TV Digital,migrasi tv analog siaran tv digital,netral,1
Warga Bandung Mulai Ramai Berburu Set Top Box,warga bandung ramai berburu set top box,netral,0
Daftar Lengkap 230 Kab/Kota yang Siaran TV Analog Dimatikan,daftar lengkap kab kota siaran tv analog dimatikan,netral,1
Harga Set Top Box TV Digital Tersertifikasi Kominfo Mulai Rp 100 ribu,harga set top box tv digital tersertifikasi kominfo rp ribu,netral,0
Set Top Box dan TV Digital Ludes Diserbu Usai Analog Disuntik Mati,set top box tv digital ludes diserbu analog disuntik mati,netral,1
Protes Harry Tanoe dan Jawaban Kominfo soal Siaran TV Digital,protes harry tanoe kominfo siaran tv digital,negatif,1
"Daftar TV yang Tangkap TV Digital Tanpa Set Top Box Harga Mulai Rp 1,3 Juta",daftar tv tangkap tv digital set top box harga rp juta,netral,1
Mau Beli TV Digital Gantikan Analog? Cek Kisaran Harganya di Sini!,beli tv digital gantikan analog cek kisaran harganya,netral,1
"Cara Nonton TV Digital Tanpa Set Top Box, Simak Berikut Ini",nonton tv digital set top box simak,netral,0
"TV Analog 'Disuntik Mati', Penjualan TV Digital Jadi Laris Manis",tv analog disuntik mati penjualan tv digital laris manis,positif,1
Begini Lho Cara Nonton TV Digital Tanpa Set Top Box,lho nonton tv digital set top box,netral,0
15 TV yang Bisa Tangkap Siaran TV Digital Tanpa Set Top Box,tv tangkap siaran tv digital set top box,netral,1
Kominfo Ungkap Banyak Manfaat dari Migrasi TV Analog ke TV Digital,kominfo manfaat migrasi tv analog tv digital,positif,1
"Kominfo Matikan TV Analog, Set Top Box Diburu Sampai Ludes",kominfo matikan tv analog set top box diburu ludes,netral,1
"Mudah, Cara Pasang Set Top Box Tangkap Siaran TV Digital",mudah pasang set top box tangkap siaran tv digital,positif,1
"Hiruk-Pikuk Kiamat TV Analog, Stasiun TV Bandel dan Omelan Mahfud Md",hiruk pikuk kiamat tv analog stasiun tv bandel omelan mahfud md,negatif,1
"Harga Set Top Box TV Digital, Mulai Rp 100 RIbuan",harga set top box tv digital rp ribuan,netral,0
Sejarah Siaran TV Analog hingga Digantikan TV Digital,sejarah siaran tv analog digantikan tv digital,netral,1
Kominfo Sebut Putusan MA Soal TV Digital Perkuat ASO,kominfo putusan ma tv digital perkuat aso,netral,1
Kominfo Jawab Protes HT soal ASO,kominfo protes ht aso,negatif,1
"Realisasi Distribusi Set Top Box Gratis, MNC Group Paling Rendah",realisasi distribusi set top box gratis mnc group rendah,netral,0
"TV Analog Dimatikan, Begini Sejarah Pertelevisian di Indonesia",tv analog dimatikan sejarah pertelevisian indonesia,netral,1
"Mahfud Jawab HT soal ASO: Jangan Cari Masalah Hukum, Saya Bisa Dapat Duluan",mahfud ht aso jangan cari hukum duluan,netral,0
Mahfud Beri Penjelasan Clear soal Putusan MK yang Disoal HT,mahfud penjelasan clear putusan mk disoal ht,positif,1
Pimpinan Komisi I DPR Jawab Hary Tanoe: Siaran TV Digital Keniscayaan!,pimpinan komisi i dpr hary tanoe siaran tv digital keniscayaan,netral,1
"Mahfud soal Migrasi TV Analog ke Digital: Yang Tak Siap, Datang ke Posko",mahfud migrasi tv analog digital tak posko,netral,1
"Penjelasan Kominfo soal Matikan TV Analog, Masyarakat Tak Mampu Dapat STB Gratis",penjelasan kominfo matikan tv analog masyarakat tak stb gratis,positif,1
Mahfud Jawab Hary Tanoe: Jangan Katakan Tak Siap soal TV Digital!,mahfud hary tanoe jangan tak tv digital,netral,1
"TV Analog Mati di Jabodetabek, Netizen Kesulitan Nonton Dibilang Kudet",tv analog mati jabodetabek netizen kesulitan nonton dibilang kudet,negatif,1
"Pekan Depan, Komisi I DPR Bahas TV Bandel soal Siaran Analog",pekan komisi i dpr bahas tv bandel siaran analog,negatif,1
Anggota DPR Dukung 'Suntik Mati' TV Analog Lanjut Terus!,anggota dpr dukung suntik mati tv analog,netral,1
DPR Desak Kominfo Segera Bagi Set Top Box Gratis Tepat Sasaran,dpr desak kominfo set top box gratis sasaran,netral,0
"Cara Pakai Set Top Box untuk Nonton TV Digital, Lokasi Beli-Daftar Harganya",pakai set top box nonton tv digital lokasi beli daftar harganya,netral,0
Ini Profil Bos MNC Hary Tanoe yang Protes Siaran TV Digital,profil bos mnc hary tanoe protes siaran tv digital,negatif,1
Perhatian! Ini Hari Terakhir Posko Pembagian Set Top Box Gratis Jabodetabek,perhatian posko pembagian set top box gratis jabodetabek,positif,1
"Migrasi TV Analog ke Digital, Pemkot Surabaya Bagikan 17.012 STB ke Warga",migrasi tv analog digital pemkot surabaya bagikan stb warga,netral,1
Bos MNC Hary Tanoe Protes Siaran TV Digital: Masyarakat Dirugikan!,bos mnc hary tanoe protes siaran tv digital masyarakat dirugikan,negatif,1
Keren! Ngurah Rai Punya Hotel Kapsul Pertama di Dalam Bandara,keren ngurah rai hotel kapsul bandara,positif,1
"TV Analog Dimatikan, Hary Tanoe Sebut MNC Group Terpaksa",tv analog dimatikan hary tanoe mnc group terpaksa,negatif,1
"Sebanyak 1,1 Juta Unit Set Top Box Gratis Sudah Dibagikan, Kamu Sudah Dapat?",juta unit set top box gratis dibagikan,positif,0
Sengkarut TV Digital dan Tudingan Stasiun TV Membandel,sengkarut tv digital tudingan stasiun tv membandel,negatif,1
Warga Blitar Pilih Pasrah Soal Migrasi TV Digital,warga blitar pilih pasrah migrasi tv digital,netral,1
Siaran TV Analog ANTV dan TV One Jabodetabek Dimatikan Malam Ini,siaran tv analog antv tv one jabodetabek dimatikan malam,netral,1
MNC Group Ungkap Sengkarut Masalah ASO,mnc group sengkarut aso,netral,1
MNC Group Siap Matikan TV Analog di Jabodetabek Malam Ini,mnc group matikan tv analog jabodetabek malam,netral,1
"Pemerintah Cabut Izin TV MNC Group dan Viva Group, Ini Penyebabnya",pemerintah cabut izin tv mnc group viva group penyebabnya,positif,1
"Mahfud: Mohon Ditaati, Analog Switch Off Keputusan Dunia Internasional",mahfud mohon ditaati analog switch off keputusan dunia internasional,positif,1
Izin TV MNC Group-Viva Group Terancam Dicabut Imbas Siaran Analog,izin tv mnc group viva group terancam dicabut imbas siaran analog,negatif,1
Mahfud Md Sampaikan Daftar Stasiun TV yang Masih Bandel Siaran Analog,mahfud md daftar stasiun tv bandel siaran analog,negatif,1
Mahfud Ancam Cabut Izin TV Swasta 'Bandel' Tak Mau Pindah ke Digital,mahfud ancam cabut izin tv swasta bandel tak pindah digital,negatif,1
Ancaman Polisionil Mahfud Md untuk Stasiun TV Membandel,ancaman polisionil mahfud md stasiun tv membandel,negatif,1
Cara Menonton Siaran TV Digital,menonton siaran tv digital,netral,1
Lokasi Pembagian Set Top Box Gratis TV Digital di Jabodetabek,lokasi pembagian set top box gratis tv digital jabodetabek,positif,1
"Pemerintah Cabut Izin TV MNC Group dan VIVA Group, Ogah Pindah ke Digital",pemerintah cabut izin tv mnc group viva group ogah pindah digital,netral,1
Belum Dapat Set Top Box Gratis? Chat Nomor WhatsApp Ini,set top box gratis chat nomor whatsapp,positif,0
"TV Analog Mati, Pembagian Set Top Box Gratis di Jabodetabek 99,3%",tv analog mati pembagian set top box gratis jabodetabek,positif,1
